birthdate,gender,smoker?,price
18-04-1960,Female,No,57.70
18-04-1960,Male,No,57.70
18-04-1960,Female,Yes,125.20
18-04-1960,Male,Yes,125.20
18-04-1961,Female,No,53.40
18-04-1961,Male,No,53.40
18-04-1961,Female,Yes,116.80
18-04-1961,Male,Yes,116.80
18-04-1962,Female,No,48.40
18-04-1962,Male,No,48.40
18-04-1962,Female,Yes,105.80
18-04-1962,Male,Yes,105.80
18-04-1963,Female,No,44.00
18-04-1963,Male,No,44.00
18-04-1963,Female,Yes,95.70
18-04-1963,Male,Yes,95.70
18-04-1964,Female,No,40.00
18-04-1964,Male,No,40.00
18-04-1964,Female,Yes,86.70
18-04-1964,Male,Yes,86.70
18-04-1965,Female,No,36.30
18-04-1965,Male,No,36.30
18-04-1965,Female,Yes,78.50
18-04-1965,Male,Yes,78.50
18-04-1966,Female,No,33.10
18-04-1966,Male,No,33.10
18-04-1966,Female,Yes,71.20
18-04-1966,Male,Yes,71.20
18-04-1967,Female,No,30.10
18-04-1967,Male,No,30.10
18-04-1967,Female,Yes,64.50
18-04-1967,Male,Yes,64.50
18-04-1968,Female,No,27.40
18-04-1968,Male,No,27.40
18-04-1968,Female,Yes,58.50
18-04-1968,Male,Yes,58.50
18-04-1969,Female,No,25.00
18-04-1969,Male,No,25.00
18-04-1969,Female,Yes,53.10
18-04-1969,Male,Yes,53.10
18-04-1970,Female,No,22.80
18-04-1970,Male,No,22.80
18-04-1970,Female,Yes,48.20
18-04-1970,Male,Yes,48.20
18-04-1971,Female,No,20.90
18-04-1971,Male,No,20.90
18-04-1971,Female,Yes,43.70
18-04-1971,Male,Yes,43.70
18-04-1972,Female,No,19.20
18-04-1972,Male,No,19.20
18-04-1972,Female,Yes,39.50
18-04-1972,Male,Yes,39.50
18-04-1973,Female,No,17.60
18-04-1973,Male,No,17.60
18-04-1973,Female,Yes,35.60
18-04-1973,Male,Yes,35.60
18-04-1974,Female,No,16.20
18-04-1974,Male,No,16.20
18-04-1974,Female,Yes,32.20
18-04-1974,Male,Yes,32.20
18-04-1975,Female,No,14.90
18-04-1975,Male,No,14.90
18-04-1975,Female,Yes,29.10
18-04-1975,Male,Yes,29.10
18-04-1976,Female,No,13.80
18-04-1976,Male,No,13.80
18-04-1976,Female,Yes,26.30
18-04-1976,Male,Yes,26.30
18-04-1977,Female,No,12.70
18-04-1977,Male,No,12.70
18-04-1977,Female,Yes,23.90
18-04-1977,Male,Yes,23.90
18-04-1978,Female,No,11.80
18-04-1978,Male,No,11.80
18-04-1978,Female,Yes,21.60
18-04-1978,Male,Yes,21.60
18-04-1979,Female,No,10.90
18-04-1979,Male,No,10.90
18-04-1979,Female,Yes,19.60
18-04-1979,Male,Yes,19.60
18-04-1980,Female,No,10.10
18-04-1980,Male,No,10.10
18-04-1980,Female,Yes,17.90
18-04-1980,Male,Yes,17.90
18-04-1981,Female,No,9.40
18-04-1981,Male,No,9.40
18-04-1981,Female,Yes,16.20
18-04-1981,Male,Yes,16.20
18-04-1982,Female,No,8.70
18-04-1982,Male,No,8.70
18-04-1982,Female,Yes,14.70
18-04-1982,Male,Yes,14.70
18-04-1983,Female,No,8.00
18-04-1983,Male,No,8.00
18-04-1983,Female,Yes,13.20
18-04-1983,Male,Yes,13.20
18-04-1984,Female,No,8.00
18-04-1984,Male,No,8.00
18-04-1984,Female,Yes,13.10
18-04-1984,Male,Yes,13.10
18-04-1985,Female,No,8.10
18-04-1985,Male,No,8.10
18-04-1985,Female,Yes,13.00
18-04-1985,Male,Yes,13.00
18-04-1986,Female,No,8.10
18-04-1986,Male,No,8.10
18-04-1986,Female,Yes,12.90
18-04-1986,Male,Yes,12.90
18-04-1987,Female,No,8.10
18-04-1987,Male,No,8.10
18-04-1987,Female,Yes,12.80
18-04-1987,Male,Yes,12.80
18-04-1988,Female,No,8.20
18-04-1988,Male,No,8.20
18-04-1988,Female,Yes,12.80
18-04-1988,Male,Yes,12.80
18-04-1989,Female,No,8.20
18-04-1989,Male,No,8.20
18-04-1989,Female,Yes,12.70
18-04-1989,Male,Yes,12.70
18-04-1990,Female,No,8.20
18-04-1990,Male,No,8.20
18-04-1990,Female,Yes,12.60
18-04-1990,Male,Yes,12.60
18-04-1991,Female,No,8.20
18-04-1991,Male,No,8.20
18-04-1991,Female,Yes,12.50
18-04-1991,Male,Yes,12.50
18-04-1992,Female,No,8.30
18-04-1992,Male,No,8.30
18-04-1992,Female,Yes,12.30
18-04-1992,Male,Yes,12.30
18-04-1993,Female,No,8.40
18-04-1993,Male,No,8.40
18-04-1993,Female,Yes,12.10
18-04-1993,Male,Yes,12.10
18-04-1994,Female,No,8.40
18-04-1994,Male,No,8.40
18-04-1994,Female,Yes,11.90
18-04-1994,Male,Yes,11.90
18-04-1995,Female,No,8.50
18-04-1995,Male,No,8.50
18-04-1995,Female,Yes,11.70
18-04-1995,Male,Yes,11.70
18-04-1996,Female,No,8.50
18-04-1996,Male,No,8.50
18-04-1996,Female,Yes,11.50
18-04-1996,Male,Yes,11.50
18-04-1997,Female,No,8.60
18-04-1997,Male,No,8.60
18-04-1997,Female,Yes,11.30
18-04-1997,Male,Yes,11.30
18-04-1998,Female,No,8.60
18-04-1998,Male,No,8.60
18-04-1998,Female,Yes,11.10
18-04-1998,Male,Yes,11.10
18-04-1999,Female,No,8.30
18-04-1999,Male,No,8.30
18-04-1999,Female,Yes,10.30
18-04-1999,Male,Yes,10.30
18-04-2000,Female,No,8.10
18-04-2000,Male,No,8.10
18-04-2000,Female,Yes,9.80
18-04-2000,Male,Yes,9.80
